0.5, 0.01, 0.05, 61
0.5, 0.01, 0.05, 48
0.5, 0.01, 0.05, 56
0.5, 0.01, 0.05, 100
0.5, 0.01, 0.05, 36
0.5, 0.01, 0.05, 49
0.5, 0.01, 0.05, 55
0.5, 0.01, 0.05, 76
0.5, 0.01, 0.05, 118
0.5, 0.01, 0.05, 168
0.5, 0.01, 0.05, 67
0.5, 0.01, 0.05, 38
0.5, 0.01, 0.05, 87
0.5, 0.01, 0.05, 134
0.5, 0.01, 0.05, 50
0.5, 0.01, 0.05, 135
0.5, 0.01, 0.05, 60
0.5, 0.01, 0.05, 46
0.5, 0.01, 0.05, 55
0.5, 0.01, 0.05, 88
0.5, 0.01, 0.05, 65
0.5, 0.01, 0.05, 58
0.5, 0.01, 0.05, 89
0.5, 0.01, 0.05, 92
0.5, 0.01, 0.05, 136
0.5, 0.01, 0.05, 64
0.5, 0.01, 0.05, 82
0.5, 0.01, 0.05, 79
0.5, 0.01, 0.05, 38
0.5, 0.01, 0.05, 35
0.5, 0.01, 0.05, 45
0.5, 0.01, 0.05, 66
0.5, 0.01, 0.05, 62
0.5, 0.01, 0.05, 66
0.5, 0.01, 0.05, 26
0.5, 0.01, 0.05, 104
0.5, 0.01, 0.05, 34
0.5, 0.01, 0.05, 32
0.5, 0.01, 0.05, 40
0.5, 0.01, 0.05, 28
0.5, 0.01, 0.05, 37
0.5, 0.01, 0.05, 73
0.5, 0.01, 0.05, 107
0.5, 0.01, 0.05, 25
0.5, 0.01, 0.05, 26
0.5, 0.01, 0.05, 35
0.5, 0.01, 0.05, 38
0.5, 0.01, 0.05, 57
0.5, 0.01, 0.05, 34
0.5, 0.01, 0.05, 106
0.5, 0.01, 0.05, 36
0.5, 0.01, 0.05, 68
0.5, 0.01, 0.05, 253
0.5, 0.01, 0.05, 24
0.5, 0.01, 0.05, 25
0.5, 0.01, 0.05, 115
0.5, 0.01, 0.05, 78
0.5, 0.01, 0.05, 47
0.5, 0.01, 0.05, 76
0.5, 0.01, 0.05, 137
0.5, 0.01, 0.05, 121
0.5, 0.01, 0.05, 129
0.5, 0.01, 0.05, 39
0.5, 0.01, 0.05, 71
0.5, 0.01, 0.05, 54
0.5, 0.01, 0.05, 180
0.5, 0.01, 0.05, 53
0.5, 0.01, 0.05, 95
0.5, 0.01, 0.05, 69
0.5, 0.01, 0.05, 43
0.5, 0.01, 0.05, 40
0.5, 0.01, 0.05, 61
0.5, 0.01, 0.05, 79
0.5, 0.01, 0.05, 44
0.5, 0.01, 0.05, 25
0.5, 0.01, 0.05, 172
0.5, 0.01, 0.05, 23
0.5, 0.01, 0.05, 27
0.5, 0.01, 0.05, 79
0.5, 0.01, 0.05, 109
0.5, 0.01, 0.05, 38
0.5, 0.01, 0.05, 34
0.5, 0.01, 0.05, 87
0.5, 0.01, 0.05, 165
0.5, 0.01, 0.05, 46
0.5, 0.01, 0.05, 30
0.5, 0.01, 0.05, 84
0.5, 0.01, 0.05, 38
0.5, 0.01, 0.05, 49
0.5, 0.01, 0.05, 55
0.5, 0.01, 0.05, 43
0.5, 0.01, 0.05, 84
0.5, 0.01, 0.05, 118
0.5, 0.01, 0.05, 42
0.5, 0.01, 0.05, 21
0.5, 0.01, 0.05, 35
0.5, 0.01, 0.05, 87
0.5, 0.01, 0.05, 27
0.5, 0.01, 0.05, 203
0.5, 0.01, 0.05, 82
0.5, 0.01, 0.05, 57
0.5, 0.01, 0.05, 22
0.5, 0.01, 0.05, 35
0.5, 0.01, 0.05, 39
0.5, 0.01, 0.05, 61
0.5, 0.01, 0.05, 49
0.5, 0.01, 0.05, 30
0.5, 0.01, 0.05, 50
0.5, 0.01, 0.05, 61
0.5, 0.01, 0.05, 28
0.5, 0.01, 0.05, 53
0.5, 0.01, 0.05, 163
0.5, 0.01, 0.05, 51
0.5, 0.01, 0.05, 107
0.5, 0.01, 0.05, 44
0.5, 0.01, 0.05, 45
0.5, 0.01, 0.05, 25
0.5, 0.01, 0.05, 35
0.5, 0.01, 0.05, 118
0.5, 0.01, 0.05, 64
